match_number,stage,group_name,home_team,away_team,kickoff_at
1,Fase de grupos,Grupo A,México,Sudáfrica,2026-06-11 13:00
2,Fase de grupos,Grupo A,Corea del Sur,Chequia,2026-06-11 20:00
3,Fase de grupos,Grupo B,Canadá,Bosnia y Herzegovina,2026-06-12 13:00
4,Fase de grupos,Grupo D,Estados Unidos,Paraguay,2026-06-12 19:00
5,Fase de grupos,Grupo B,Catar,Suiza,2026-06-13 13:00
6,Fase de grupos,Grupo C,Brasil,Marruecos,2026-06-13 16:00
7,Fase de grupos,Grupo C,Haití,Escocia,2026-06-13 19:00
8,Fase de grupos,Grupo D,Australia,Turquía,2026-06-13 22:00
9,Fase de grupos,Grupo E,Alemania,Curazao,2026-06-14 11:00
10,Fase de grupos,Grupo F,Países Bajos,Japón,2026-06-14 14:00
11,Fase de grupos,Grupo E,Costa de Marfil,Ecuador,2026-06-14 17:00
12,Fase de grupos,Grupo F,Suecia,Túnez,2026-06-14 20:00
13,Fase de grupos,Grupo H,España,Cabo Verde,2026-06-15 10:00
14,Fase de grupos,Grupo G,Bélgica,Egipto,2026-06-15 13:00
15,Fase de grupos,Grupo H,Arabia Saudita,Uruguay,2026-06-15 16:00
16,Fase de grupos,Grupo G,Irán,Nueva Zelanda,2026-06-15 19:00
17,Fase de grupos,Grupo I,Francia,Senegal,2026-06-16 13:00
18,Fase de grupos,Grupo I,Irak,Noruega,2026-06-16 16:00
19,Fase de grupos,Grupo J,Argentina,Argelia,2026-06-16 19:00
20,Fase de grupos,Grupo J,Austria,Jordania,2026-06-16 22:00
21,Fase de grupos,Grupo K,Portugal,RD Congo,2026-06-17 11:00
22,Fase de grupos,Grupo L,Inglaterra,Croacia,2026-06-17 14:00
23,Fase de grupos,Grupo L,Ghana,Panamá,2026-06-17 17:00
24,Fase de grupos,Grupo K,Uzbekistán,Colombia,2026-06-17 20:00
25,Fase de grupos,Grupo A,Chequia,Sudáfrica,2026-06-18 10:00
26,Fase de grupos,Grupo B,Suiza,Bosnia y Herzegovina,2026-06-18 13:00
27,Fase de grupos,Grupo B,Canadá,Catar,2026-06-18 16:00
28,Fase de grupos,Grupo A,México,Corea del Sur,2026-06-18 19:00
29,Fase de grupos,Grupo D,Estados Unidos,Australia,2026-06-19 13:00
30,Fase de grupos,Grupo C,Escocia,Marruecos,2026-06-19 16:00
31,Fase de grupos,Grupo C,Brasil,Haití,2026-06-19 18:30
32,Fase de grupos,Grupo D,Turquía,Paraguay,2026-06-19 21:00
33,Fase de grupos,Grupo F,Países Bajos,Suecia,2026-06-20 11:00
34,Fase de grupos,Grupo E,Alemania,Costa de Marfil,2026-06-20 14:00
35,Fase de grupos,Grupo E,Ecuador,Curazao,2026-06-20 18:00
36,Fase de grupos,Grupo F,Túnez,Japón,2026-06-20 22:00
37,Fase de grupos,Grupo H,España,Arabia Saudita,2026-06-21 10:00
38,Fase de grupos,Grupo G,Bélgica,Irán,2026-06-21 13:00
39,Fase de grupos,Grupo H,Uruguay,Cabo Verde,2026-06-21 16:00
